radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
1.45,216.0,10.0,240.9,0.0,0.0
2.88,215.0,7.0,232.56,0.0,0.0
4.33,215.0,5.0,235.54,0.0,0.0
5.78,214.0,4.0,243.76,0.0,0.0
7.22,215.0,4.0,245.32,0.0,0.0
8.66,221.0,3.0,253.0,0.0,0.0
11.55,233.0,3.0,281.58,0.0,11.24
14.48,237.0,3.0,299.81,0.0,27.45
17.28,242.0,3.0,295.15,0.0,40.74
20.2,241.0,3.0,293.48,0.0,51.22
23.12,240.0,3.0,284.89,0.0,57.81
26.04,234.0,3.0,267.33,0.0,56.95
28.84,226.0,3.0,249.73,0.0,55.22
31.76,213.0,3.0,235.27,0.0,52.84
34.68,207.0,3.0,223.76,0.0,50.68
37.48,208.0,4.0,210.28,0.0,48.19
40.4,209.0,4.0,200.01,0.0,45.17
43.32,207.0,4.0,191.48,0.0,42.57
46.24,213.0,6.0,184.17,0.0,40.95
